indicator,pearson_r,chi_p,chi_sig,wr_top25,wr_bot25,wr_diff,combined_score,top25_mean,bot25_mean
ex_stochrsi_k,-0.016695972554417633,0.9582158616163736,False,0.28205128205128205,0.3247863247863248,-0.04273504273504275,0.051732067469447404,94.0251175967143,2.821844353453471
ex_aroon_crossover,-0.04978470796316935,1.0,False,0.25598086124401914,0.30097087378640774,-0.0449900125423886,0.05092742242286169,1.0,0.0
ex_tsi_positive,-0.047095701315241253,1.0,False,0.2535612535612536,0.2972508591065292,-0.04368960554527562,0.04908039483079288,1.0,0.0
ex_vpt_norm,-0.008706347192886472,0.9582158616163736,False,0.2905982905982906,0.32905982905982906,-0.038461538461538436,0.0459163764421846,0.2048379365241625,-0.027814622565916776
ex_cci_overbought,-0.09974318533672177,1.0,False,0.2808145766345123,0.30051150895140666,-0.019696932316894344,0.04568050145453201,0.16184351554126475,0.0
ex_stochrsi_crossover,-0.044539687967026245,1.0,False,0.25925925925925924,0.2994011976047904,-0.04014193834553115,0.04547545706653279,1.0,0.0
ex_williams_oversold,0.04042043226162368,1.0,False,0.3107569721115538,0.2697947214076246,0.04096225070392917,0.044895930241630445,1.0,0.0
ex_stoch_oversold,0.04042043226162368,1.0,False,0.3107569721115538,0.2697947214076246,0.04096225070392917,0.044895930241630445,1.0,0.0
ex_stoch_overbought,-0.09361948662194512,1.0,False,0.2808145766345123,0.2961165048543689,-0.015301928219856598,0.04032738856246881,0.11682743837084673,0.0
ex_williams_overbought,-0.09361948662194512,1.0,False,0.2808145766345123,0.2961165048543689,-0.015301928219856598,0.04032738856246881,0.11682743837084673,0.0
ex_vpt_score,-0.03898515796842644,1.0,False,0.2620689655172414,0.2971887550200803,-0.035119789502838894,0.03979137899279905,65.0,35.0
ex_stoch_crossover,-0.035956838243439135,1.0,False,0.26303317535545023,0.29549902152641877,-0.03246584617096854,0.03675972840980657,1.0,0.0
ex_kc_breakout_above,-0.0772081105114402,1.0,False,0.2808145766345123,0.29545454545454547,-0.014639968820033156,0.034874408209458585,0.15112540192926044,0.0
ex_stochrsi_d,0.002102420600666958,0.9582158616163736,False,0.2564102564102564,0.2777777777777778,-0.021367521367521403,0.030259984789305125,86.53228662026605,9.474234539072123
ex_eom_score,-0.02808494095549087,1.0,False,0.2672811059907834,0.2925851703406814,-0.02530406434989796,0.028668733766565632,60.0,40.0
ex_eom_positive,-0.02808494095549082,1.0,False,0.2672811059907834,0.2925851703406814,-0.02530406434989796,0.028668733766565615,1.0,0.0
ex_vortex_score,-0.02333657212132036,1.0,False,0.26370757180156656,0.2865979381443299,-0.022890366342763313,0.02531326471060676,70.0,35.0
ex_mass_reversal,-0.06094870558815387,1.0,False,0.2808145766345123,0.2895981087470449,-0.008783532112532577,0.025311437366472223,0.0932475884244373,0.0
ex_mass_score,-0.05564934151301838,1.0,False,0.2808145766345123,0.2893081761006289,-0.008493599466116608,0.023489682026798804,51.20578778135048,50.0
ex_aroon_score,-0.01139006243665434,1.0,False,0.25598086124401914,0.2803738317757009,-0.024392970531681768,0.022931395156341718,62.39234449760765,35.0
ex_trix_positive,-0.019736758394490437,1.0,False,0.2693409742120344,0.2876712328767123,-0.018330258664677912,0.02058523445008946,1.0,0.0
ex_ao_saucer,-0.044294046181559736,1.0,False,0.2808145766345123,0.2849162011173184,-0.004101624482806099,0.0165695134407128,0.04072883172561629,0.0
ex_psar_bullish_trend,-0.014483432813973103,1.0,False,0.2733990147783251,0.286527514231499,-0.013128499453173903,0.014847829406731055,1.0,0.0
ex_psar_below,-0.014483432813973103,1.0,False,0.2733990147783251,0.286527514231499,-0.013128499453173903,0.014847829406731055,1.0,0.0
ex_psar_score,-0.014483432813972954,1.0,False,0.2733990147783251,0.286527514231499,-0.013128499453173903,0.01484782940673101,70.0,30.0
ex_adx_strong,-0.012760751248211816,1.0,False,0.2744630071599045,0.28599221789883267,-0.011529210738928153,0.013051593965606068,1.0,0.0
ex_mfi_oversold,-0.0262858266265718,1.0,False,0.2808145766345123,0.28331466965285557,-0.0025000930183432524,0.009885822402646141,0.04287245444801715,0.0
ex_cci_oversold,0.005875983008559488,1.0,False,0.2808145766345123,0.2793914246196404,0.0014231520148719201,0.0029013165144653823,0.22508038585209003,0.0
ex_mfi_overbought,-0.006970913440036396,1.0,False,0.2808145766345123,0.2814238042269188,-0.0006092275924065027,0.002578656105936121,0.03644158628081458,0.0
ex_uo_oversold,0.00392379948083833,1.0,False,0.2808145766345123,0.28052805280528054,0.00028652382923177733,0.0014063589076369206,0.02572347266881029,0.0
