symbol,long_score,short_score,peak,dd,pump_5,pump_10,dump_5,dump_10
BREVUSDT,63.0,2.0,2.3255813953488467,-0.8207934336525353,0,0,0,0
BREVUSDT,10.864192651305558,28.32247358439447,0.2706359945872879,-2.165087956698228,0,0,0,0
BREVUSDT,26.787992598934032,15.004366311243079,4.407713498622601,-0.13774104683195987,0,0,0,0
BREVUSDT,16.0,24.072891284053412,2.3936170212765906,-1.1968085106382953,0,0,0,0
BREVUSDT,16.0,20.317949891358573,1.842105263157893,-2.7631578947368483,0,0,0,0
FIGHTUSDT,23.64901195883244,4.0,0.4878048780487747,-3.252032520325212,0,0,0,0
FIGHTUSDT,22.0,8.86884602369333,0.5302818866871436,-2.0932179737650007,0,0,0,0
FIGHTUSDT,18.498830223727055,14.0,3.3147632311977766,-1.1699164345403883,0,0,0,0
FIGHTUSDT,17.0,9.674455555894992,2.906976744186036,-3.709856035437431,0,0,0,0
FIGHTUSDT,36.0,15.0,0.1695873374787996,-4.0983606557376975,0,0,0,0
FIGHTUSDT,35.95521452495657,20.0,0.9367681498829014,-1.463700234192041,0,0,0,0
FIGHTUSDT,36.0,23.0,0.14766686355581204,-10.129946839929119,0,0,1,1
FIGHTUSDT,13.0,29.22527663081905,1.2210796915167041,-6.6838046272493665,0,0,1,0
FIGHTUSDT,27.033205619412573,12.0,3.8170563961485557,-0.2751031636863891,0,0,0,0
FIGHTUSDT,33.4428566987555,0.0,6.831056314561809,-1.599466844385215,1,0,0,0
FIGHTUSDT,15.0,30.542158929767005,9.555768616171308,0.0,1,0,0,0
FIGHTUSDT,19.882574827567133,19.0,3.4421888790820803,-8.12003530450133,0,0,1,0
FIGHTUSDT,22.403083082434982,5.0,0.9223918575063595,-2.1310432569974624,0,0,0,0
FIGHTUSDT,23.910625048207148,0.0,1.2907389480477467,-1.2262020006453782,0,0,0,0
FIGHTUSDT,27.797753604043223,10.0,1.2911555842479052,-5.487411233053583,0,0,1,0
USATUSDT,18.0,9.399885041483813,0.19998000199980018,-0.1899810018998113,0,0,0,0
USATUSDT,23.050025012506246,4.0,0.0299970002999667,-0.09999000099990009,0,0,0,0
USATUSDT,18.0,4.050020008003195,0.039988003598915925,-0.11996401079675888,0,0,0,0
USATUSDT,13.049999999999994,4.0,0.339796122326611,-0.1698980611632944,0,0,0,0
USATUSDT,13.0,9.749106067225402,0.03998400639743662,-0.20991603358656444,0,0,0,0
USATUSDT,13.0,4.0,0.019994001799457962,-0.0499850044986449,0,0,0,0
USATUSDT,22.0,0.0500050005000445,0.11002200440086807,-0.11002200440087917,0,0,0,0
USATUSDT,23.10000500050004,0.0,0.16012810248197906,-0.020016012810245995,0,0,0,0
USATUSDT,18.199920031987183,0.0,0.0100010001000089,-0.0700070007000734,0,0,0,0
USATUSDT,27.150010002000386,10.0,0.14007003501749332,0.0,0,0,0,0
USATUSDT,23.150025004500833,0.0,0.0100010001000089,-0.0300030003000267,0,0,0,0
USATUSDT,27.150025005501433,0.0,0.14005602240894816,-0.020008003201289416,0,0,0,0
USATUSDT,23.0,0.05002500850264529,0.029994001199756745,-0.0699860027994324,0,0,0,0
USATUSDT,15.0,12.0,0.029999999999996696,-0.029999999999996696,0,0,0,0
USATUSDT,22.0,0.0,0.01999600079983783,-0.029994001199756745,0,0,0,0
PARTIUSDT,39.0,0.0,1.4028056112224434,-3.8076152304609194,0,0,0,0
PARTIUSDT,22.0,0.0,2.9166666666666634,-1.0416666666666676,0,0,0,0
PARTIUSDT,16.0,32.43977544159722,8.613445378151258,-0.2100840336134514,1,0,0,0
PARTIUSDT,28.410322262515095,6.75,0.19960079840319933,-6.786427145708583,0,0,1,0
PARTIUSDT,32.0,0.0,0.6134969325153408,-4.294478527607358,0,0,0,0
PARTIUSDT,12.0,0.0,0.4237288135593195,-3.177966101694918,0,0,0,0
PARTIUSDT,8.0,0.0,2.3504273504273434,-2.1367521367521385,0,0,0,0
PARTIUSDT,26.65016501650164,4.171372031662261,3.789473684210518,-4.210526315789477,0,0,0,0
PARTIUSDT,54.94827586206895,1.0,2.173913043478263,-0.6521739130434818,0,0,0,0
PARTIUSDT,16.5,51.37672090551284,11.231101511879041,-1.079913606911448,1,1,0,0
PARTIUSDT,8.0,31.837690725184274,2.286902286902295,-3.3264033264033213,0,0,0,0
PARTIUSDT,31.0,8.800729927007296,2.5263157894736836,-17.684210526315784,0,0,1,1
PARTIUSDT,1.0,12.710801393728232,1.7369727047146382,-5.707196029776683,0,0,1,0
PARTIUSDT,17.03620754012693,0.0,0.7537688442210922,-25.376884422110557,0,0,1,1
