feature,pearson,top_wr,bot_wr,wr_diff,score
ex_ex_stoch_oversold,0.01698823158347566,0.18725490196078431,0.18356867779204109,0.0036862241687432296,0.009007027134636202
ex_ex_williams_oversold,0.01698823158347566,0.18725490196078431,0.18356867779204109,0.0036862241687432296,0.009007027134636202
candle_big_wick_top,-0.009088152611621969,0.18130841121495328,0.1893687707641196,-0.008060359549166313,0.008471476774148575
ind_bb_breakout_below,0.017839010290552248,0.18725490196078431,0.18562564632885212,0.0016292556319321971,0.008113157495380217
ex_ex_cci_score,-0.016683653254408085,0.1789409616555082,0.18097014925373134,-0.0020291875982231256,0.00789097386069711
ex_ex_williams_score,0.013620653295139536,0.18760469011725292,0.18356867779204109,0.004036012325211835,0.007869868713182916
ex_ex_stochrsi_d,0.004391715878730966,0.19019607843137254,0.2,-0.009803921568627472,0.0076390392926688686
tech_macd_value,0.0042068819006262255,0.20784313725490197,0.21764705882352942,-0.009803921568627444,0.007565105701426956
ex_ex_stochrsi_k,0.008905018472567536,0.2,0.20588235294117646,-0.00588235294117645,0.007091419153732884
ex_ex_tsi,-0.003015330480164251,0.22156862745098038,0.23137254901960785,-0.009803921568627472,0.007088485133242183
ex_ex_kst_score,0.005931674101654228,0.21317157712305027,0.20623916811091855,0.006932409012131713,0.006532115047940719
struct_higher_lows,-0.012156617414319662,0.18725490196078431,0.1896551724137931,-0.0024002704530087793,0.006302809237533132
ex_ex_tsi_score,-0.00032465143444259477,0.22156862745098038,0.23137254901960785,-0.009803921568627472,0.0060122135149535206
ex_ex_vortex_plus,-0.006055437846404476,0.2019607843137255,0.20784313725490197,-0.0058823529411764774,0.005951586903267678
ex_ex_trix_score,-0.005881656085860604,0.2372549019607843,0.24313725490196078,-0.0058823529411764774,0.005882074199050128
ex_ex_stoch_d,-9.459054050527942e-05,0.19215686274509805,0.20156555772994128,-0.00940869498484323,0.00568305320710805
ex_ex_obv_slope_norm,0.011140750417198406,0.19411764705882353,0.19607843137254902,-0.0019607843137254832,0.005632770755114653
candle_candle_score,0.005405952726423228,0.1727447216890595,0.1784313725490196,-0.005686650859960118,0.005574371606545362
candle_candle_strength,-0.004844202040454148,0.18235294117647058,0.17647058823529413,0.00588235294117645,0.005467092580887529
ex_ex_kst_crossover,0.005358047463030414,0.18929254302103252,0.1851106639839034,0.004181879037129105,0.004652346407489629
ind_bb_score,0.0009425070803104507,0.18386108273748722,0.19038642789820923,-0.006525345160722007,0.004292209928557384
ind_momentum_acceleration,0.008496642820069159,0.2411764705882353,0.2411764705882353,0.0,0.003398657128027664
ex_ex_mfi_oversold,-0.007432278756611837,0.18725490196078431,0.18788501026694046,-0.0006301083061561463,0.0033509764863384225
struct_lower_highs,0.006041659246302007,0.18725490196078431,0.18608907870652838,0.0011658232542559321,0.0031161576510743624
tech_rsi_value,0.005603375841388054,0.21764705882352942,0.216796875,0.0008501838235294157,0.002751460630672871
ex_ex_ao_saucer,0.0061583633666448135,0.18725490196078431,0.18680203045685279,0.000452871503931529,0.002735068249016843
ex_ex_trix_positive,-0.002247358680810539,0.1863157894736842,0.18807339449541285,-0.001757605021728642,0.001953506485361401
ind_price_above_vwap,-0.0019758414945077224,0.18638392857142858,0.18793706293706294,-0.0015531343656343677,0.0017222172171837097
ex_ex_ao,0.003292501337067371,0.20980392156862746,0.20980392156862746,0.0,0.0013170005348269486
ex_ex_stoch_overbought,-0.002404691912655771,0.18725490196078431,0.18760469011725292,-0.0003497881564686056,0.0011717496589434718
ex_ex_williams_overbought,-0.002404691912655771,0.18725490196078431,0.18760469011725292,-0.0003497881564686056,0.0011717496589434718
